ID,Country,Capital,Population
0,American Samoa,Pago Pago,55197
1,Peru,Lima,32971846
2,Tonga,Nuku'alofa,105697
3,Mayotte,Mamoudzou,226915
4,Panama,Panama City,4314768
5,Madagascar,Antananarivo,27691019
6,Belgium,Brussels,11555997
7,Central African Republic,Bangui,4829764
8,Hungary,Budapest,9749763
9,Mongolia,Ulan Bator,3278292
10,Saudi Arabia,Riyadh,34813867
11,Eswatini,Mbabane,1160164
12,Uganda,Kampala,45741000
13,Paraguay,Asunción,7132530
14,Cameroon,Yaoundé,26545864
15,France,Paris,67391582
16,Togo,Lomé,8278737
17,Mauritius,Port Louis,1265740
18,Cook Islands,Avarua,18100
19,Palau,Ngerulmud,18092
20,Nepal,Kathmandu,29136808
21,New Zealand,Wellington,5084300
22,Pitcairn Islands,Adamstown,56
23,Seychelles,Victoria,98462
24,United Arab Emirates,Abu Dhabi,9890400
25,Belarus,Minsk,9398861
26,Dominican Republic,Santo Domingo,10847904
27,Libya,Tripoli,6871287
28,Tokelau,Fakaofo,1411
29,Croatia,Zagreb,4047200
30,Philippines,Manila,109581085
31,Albania,Tirana,2837743
32,Bouvet Island,N/A,0
33,Indonesia,Jakarta,273523621
34,Thailand,Bangkok,69799978
35,Latvia,Riga,1901548
36,Ecuador,Quito,17643060
37,Kenya,Nairobi,53771300
38,Liberia,Monrovia,5057677
39,British Virgin Islands,Road Town,30237
40,San Marino,City of San Marino,33938
41,India,New Delhi,1380004385
42,Bahrain,Manama,1701583
43,Malawi,Lilongwe,19129955
44,Iceland,Reykjavik,366425
45,Brunei,Bandar Seri Begawan,437483
46,French Guiana,Cayenne,254541
47,Samoa,Apia,198410
48,Georgia,Tbilisi,3714000
49,Caribbean Netherlands,Kralendijk,25987
50,Heard Island and McDonald Islands,N/A,0
51,Papua New Guinea,Port Moresby,8947027
52,Ghana,Accra,31072945
53,Afghanistan,Kabul,40218234
54,Costa Rica,San José,5094114
55,Fiji,Suva,896444
56,South Korea,Seoul,51780579
57,Taiwan,Taipei,23503349
58,Czechia,Prague,10698896
59,Nicaragua,Managua,6624554
60,Portugal,Lisbon,10305564
61,Chile,Santiago,19116209
62,Gambia,Banjul,2416664
63,Belize,Belmopan,397621
64,Maldives,Malé,540542
65,Vanuatu,Port Vila,307150
66,Malaysia,Kuala Lumpur,32365998
67,Antigua and Barbuda,Saint John's,97928
68,Iran,Tehran,83992953
69,Russia,Moscow,144104080
70,Kiribati,South Tarawa,119446
71,Martinique,Fort-de-France,378243
72,Bangladesh,Dhaka,164689383
73,Armenia,Yerevan,2963234
74,Mexico,Mexico City,128932753
75,Estonia,Tallinn,1331057
76,Oman,Muscat,5106622
77,United States,"Washington, D.C.",329484123
78,Liechtenstein,Vaduz,38137
79,Bahamas,Nassau,393248
80,Benin,Porto-Novo,12123198
81,Kosovo,Pristina,1775378
82,Tuvalu,Funafuti,11792
83,Faroe Islands,Tórshavn,48865
84,Cayman Islands,George Town,65720
85,Egypt,Cairo,102334403
86,Azerbaijan,Baku,10110116
87,Australia,Canberra,25687041
88,Isle of Man,Douglas,85032
89,Ireland,Dublin,4994724
90,Barbados,Bridgetown,287371
91,El Salvador,San Salvador,6486201
92,Guatemala,Guatemala City,16858333
93,Japan,Tokyo,125836021
94,Vietnam,Hanoi,97338583
95,Northern Mariana Islands,Saipan,57557
96,Lithuania,Vilnius,2794700
97,Saint Lucia,Castries,183629
98,Hong Kong,City of Victoria,7500700
99,Angola,Luanda,32866268
100,Mozambique,Maputo,31255435
101,Botswana,Gaborone,2351625
102,Germany,Berlin,83240525
103,Syria,Damascus,17500657
104,Moldova,Chișinău,2617820
105,Saint Pierre and Miquelon,Saint-Pierre,6069
106,Guernsey,St. Peter Port,62999
107,Wallis and Futuna,Mata-Utu,11750
108,Poland,Warsaw,37950802
109,Trinidad and Tobago,Port of Spain,1399491
110,British Indian Ocean Territory,Diego Garcia,3000
111,Marshall Islands,Majuro,59194
112,Austria,Vienna,8917205
113,Kazakhstan,Nur-Sultan,18754440
114,Aruba,Oranjestad,106766
115,South Africa,Pretoria,59308690
116,Denmark,Copenhagen,5831404
117,Suriname,Paramaribo,586634
118,Bermuda,Hamilton,63903
119,Montserrat,Plymouth,4922
120,Ivory Coast,Yamoussoukro,26378275
121,Mauritania,Nouakchott,4649660
122,Sierra Leone,Freetown,7976985
123,Guinea,Conakry,13132792
124,French Polynesia,Papeetē,280904
125,Pakistan,Islamabad,220892331
126,United States Minor Outlying Islands,Washington DC,300
127,Lesotho,Maseru,2142252
128,Senegal,Dakar,16743930
129,Tajikistan,Dushanbe,9537642
130,Switzerland,Bern,8654622
131,Eritrea,Asmara,5352000
132,French Southern and Antarctic Lands,Port-aux-Français,400
133,Jersey,Saint Helier,100800
134,Cambodia,Phnom Penh,16718971
135,Saint Vincent and the Grenadines,Kingstown,110947
136,Sint Maarten,Philipsburg,40812
137,Vatican City,Vatican City,451
138,Uruguay,Montevideo,3473727
139,Western Sahara,El Aaiún,510713
140,Cape Verde,Praia,555988
141,Italy,Rome,59554023
142,United Kingdom,London,67215293
143,Macau,N/A,649342
144,Guyana,Georgetown,786559
145,Norway,Oslo,5379475
146,New Caledonia,Nouméa,271960
147,South Sudan,Juba,11193729
148,Burkina Faso,Ouagadougou,20903278
149,Guadeloupe,Basse-Terre,400132
